INCIDENT_NUMBER,INCIDENT_TEXT,LATITUDE,LONGITUDE
G983421067582,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, DISPATCHING CREW TO ACCESS AND REPAIR.",45.528767232,-73.742658799
G983421067582,"opened ticket for limb down on pri1, unable to reach location, assessing damage, found bad transformer, need crew to replace and clear line down blocking road",45.536399354,-73.804244395
G983421067582,"Unable to reach location, assessing damage, found bad transformer on pri1, pole down blocking road, need to locate issue, can't access with bucket truck.",45.536574526,-73.51847794
G983421067582,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED, ENTRY PROBLEM DUE TO NO BUCKET TRUCK AVAILABLE, LINE ISSUES CAUSED BY TRANSFORMER FAILURE, ASSET NOT FOUND IN GIS, CAN'T ACCESS FOR FURTHER INVESTIGATION.",45.536920961,-73.714976204
G983421067582,"Assessing damage, unable to reach location, found bad transformer, pole down blocking road, phase up, can't access.",45.538528283,-73.577015521
G983421067582,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN, BAD TRANSFORMER IDENTIFIED, ENTRY PROBLEM DUE TO NO BUCKET TRUCK AVAILABLE, LINE ISSUES CAUSED BY TRANSFORMER FAILURE, ASSET NOT FOUND IN GIS, CAN'T ACCESS FOR FURTHER INVESTIGATION.",45.543051444,-73.574244628
G983421067582,"cut in 142 to east.. assessing damage, unable to reach location, transformer, pole down, line down",45.543955546,-73.680336276
G983421067582,"Assessing damage on pri1, found a pole down blocking road, unable to reach location due to a tree down, limb down on the line, and a bad transformer, can't access to verify, will reassess once bucket truck is available, currently unable to locate issue, will update once resolved.",45.544073644,-73.58585251
G983421067582,"Transformer issue, unable to reach location, assessing damage, found bad transformer, line down, pole down, blocking road on s 30th st just east of s 15th ave.",45.545414749,-73.491757693
G983421067582,"Assessing damage, unable to reach location, found bad transformer, pole down blocking road, phase up on tps 12345.",45.548008113,-73.802320305
G983421067582,"PLF #5 PHASE UP, ASSESSING DAMAGE, SPAN POLE DOWN BLOCKING ROAD, CAN'T ACCESS, BAD TRANSFORMER",45.548598999,-73.702588746
G983421067582,"-INCIDENT AUTO-GENERATED FROM STORM RESPONSE MAP ALERT, ASSET NOT FOUND IN GIS, UNABLE TO REACH LOCATION, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, SPAN POLE DOWN BLOCKING ROAD, PHASE UP, TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE.",45.549156632,-73.561845138
G983421067582,"Primary down, assessing damage, unable to reach location, pole down, bad transformer, can't access, line down, span pole down blocking road.",45.553658105,-73.655885435
G983421067582,"limb down, unable to reach location, assessing damage, pole down, bad transformer",45.556041091,-73.576925079
G983421067582,"LINE CREW REPORTS SPAN POLE DOWN BLOCKING ROAD ON 345. ASSESSING DAMAGE, UNABLE TO REACH LOCATION DUE TO LIMB DOWN, BAD TRANSFORMER FOUND, CAN'T ACCESS WITH BUCKET TRUCK.",45.558358878,-73.623739243
G983421067582,"Opened PLF on pole down, assessing damage, unable to reach location, bad transformer, line down, can't access, found issue with pri1, span pole down blocking road.",45.562873993,-73.587180217
G983421067582,"Assessing damage, found bad transformer, unable to reach location due to pole down, can't access, span pole down blocking road.",45.563589169,-73.692988516
G983421067582,"Assessing damage, unable to reach location, found bad transformer, pole down blocking road, can't access, line down, span pole down.",45.570248572,-73.518154223
G983421067582,"Assessing damage, found bad transformer, unable to reach location due to pole down, span pole down blocking road, can't access.",45.572829947,-73.532962749
G983421067582,"2001 - INCIDENT AUTO-GENERATED FROM ADMS, Crew assessing damage, found bad transformer, unable to reach location due to pole down, span pole down blocking road, currently locating issue, will update once resolved.",45.573154568,-73.562140795
G983421067582,"Assessing damage, found bad transformer, unable to reach location due to pole down, can't access, phase up required.",45.577461878,-73.769585872
G983421067582,"A PHASE UP 2 SPAN, Transformer, Unable to Reach Location, assessing damage, pole down, can't access, bad transformer",45.578456438,-73.596176488
G983421067582,"Assessing damage, unable to reach location, pole down, bad transformer, can't access, limb down",45.581547727,-73.893221108
G983421067582,"1923 - INCIDENT AUTO-GENERATED FROM ADMS, Crew assessing damage, unable to reach location due to pole down, found bad transformer, line down, and span pole down blocking road, currently locating issue, will update once accessible.",45.582006573,-73.668962813
G983421067582,"Line down, unable to reach location, assessing damage, found bad transformer, pole down blocking road, can't access, phase up.",45.582325125,-73.687191727
G983421067582,"Assessing damage, unable to reach location, found bad transformer on pri1, pole down blocking road, need to locate issue, can't access, tree down nearby.",45.586135843,-73.770401777
G983421067582,"-INCIDENT AUTO-GENERATED FROM GIS, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND TREE DOWN BLOCKING ACCESS, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, BAD TRANSFORMER IDENTIFIED AS CAUSE OF POWER DISRUPTION, NO BUCKET TRUCK AVAILABLE TO RESPOND.",45.592857752,-73.904038916
G983421067582,"Assessing damage, unable to reach location, transformer issue, pole down, line down, can't access, bad transformer, phase up, span pole down blocking road.",45.60678413,-73.863647333
G983421067582,"Transformer, assessing damage, line down, pole down, unable to reach location, can't access",45.610555907,-73.615706726
G983421067582,"Assessing damage, unable to reach location, found bad transformer, line down, pole down blocking road, can't access, phase up.",45.613272097,-73.615636265
G983421067582,"PLF CLOSED AT 3424541160. Unable to Reach Location, assessing damage, found bad transformer, pole down, pri1, can't access, Asset not found in GIS.",45.615848385,-73.517209859
G983421067582,"Assessing damage, found bad transformer, line down, pole down, unable to reach location due to tree down, limb down blocking road, can't access, no bucket truck available to assess span pole down.",45.618087181,-73.591945791
G983421067582,"Transformer down, unable to reach location, assessing damage, pole down blocking road, can't access, phase up.",45.619208617,-73.88844738
G983421067582,"Assessing damage, unable to reach location due to a tree down blocking road, found a bad transformer on a span pole down, can't access to locate issue, and a limb down on pri1 line.",45.628524874,-73.558719517
G983421067582,"Assessing damage, unable to reach location due to pole down, need to replace bad transformer and repair line down, also, a limb down is blocking access to the area, can't access with bucket truck.",45.62978424,-73.926034648
G983421067582,"Transformer issue, unable to reach location, assessing damage, pole down, line down, can't access",45.62988434,-73.874138511
G983421067582,"LINE ISSUES TRANSFORMER BAD TRANSFORMER, ASSESSING DAMAGE, CAN'T ACCESS",45.636559519,-73.62781079
G983421067582,"2154 - INCIDENT AUTO-GENERATED FROM FIELD REPORT, ASSESSING DAMAGE TO LOCATE ISSUE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN BLOCKING ROAD, UNABLE TO REACH LOCATION DUE TO TREE DOWN, LIMB DOWN, NO BUCKET TRUCK AVAILABLE, ASSET NOT FOUND IN GIS.",45.636652187,-73.510681249
G983421067582,"2 plf assessing damage, unable to reach location, pole down, bad transformer",45.637384261,-73.784719529
G983421067582,"Transformer issue, assessing damage, unable to reach location, pole down, line down, can't access, bad transformer, span pole down blocking road.",45.641134054,-73.789584974
G983421067582,"SAFETY DOC CREATED 

TPSW  151562

CSA NORTH - INCIDENT AUTO-GENERATED FROM ADMS, ASSESSING DAMAGE, FOUND BAD TRANSFORMER, LINE DOWN, POLE DOWN, UNABLE TO REACH LOCATION DUE TO SPAN POLE DOWN BLOCKING ROAD, ASSET NOT FOUND IN GIS.",45.641233736,-73.705535474
